position,company,City,State
Data Scientist,Tonal,SAN,"Francisco,"
Data Scientist,Groupon,SAN,"Francisco,"
Data Scientist,Castle Global,SAN,"Francisco,"
Data Scientist,Streetline,SAN,"Mateo,"
Staff Data Scientist,Vida,SAN,"Francisco,"
Data Scientist,Strava,SAN,"Francisco,"
Data Scientist,"HealthyPets, Inc.",UNION,"City,"
Data Scientist,Figure,SAN,"Francisco,"
Data Scientist,Natera,SAN,"Carlos,"
Data Scientist,Finrise,BURLINGAME,CA
Data Scientist,Narvar,SAN,"Francisco,"
Data Scientist,Fanatics Inc.,SAN,"Mateo,"
Staff Data Scientist,Tapjoy,SAN,"Francisco,"
Data Scientist,Epic Creations,REDWOOD,"City,"
Data Scientist,Shutterfly,REDWOOD,"City,"
Data Scientist,Smith Hanley Associates,SAN,"Francisco,"
Senior Data Engineer,Komodo Health,SAN,"Francisco,"
Data Scientist,Redfish Technology - High Tech Executive Recruiters,REDWOOD,"City,"
Product Manager,Qadium,SAN,"Francisco,"
Senior Data Engineer,Helix,SAN,"Francisco,"
Lead Data Scientist,Skillz Inc.,SAN,"Francisco,"
Machine Learning Engineer,Scaleapi,SAN,"Francisco,"
Senior Data Engineer,HackerOne,SAN,"Francisco,"
Machine Learning Engineer,thredUP Inc,SAN,"Francisco,"
Senior Data Engineer,Hearsay Systems,SAN,"Francisco,"
Machine Learning Engineer,Credit Karma,SAN,"Francisco,"
Machine Learning Engineer,Captricity,OAKLAND,CA
Machine Learning Engineer,Doximity,SAN,"Francisco,"
Product Manager,SnapStrat,OAKLAND,CA
Product Manager,LendingClub,SAN,"Francisco,"
Senior Scientist,Notable Labs,FOSTER,"City,"
Data Engineer,permIT LLC,BELMONT,CA
Machine Learning Engineer,Dropbox,SAN,"Francisco,"
Senior Scientist,Genentech,SOUTH,San
Machine Learning Engineer,CircleUp,SAN,"Francisco,"
Machine Learning Engineer,Tubi TV,SAN,"Francisco,"
Senior Data Scientist,Jobspring Partners,SAN,"Francisco,"
Machine Learning Engineer,Angle Technologies,SAN,"Francisco,"
Research Analyst,Gifford Fong Associates (GFA),LAFAYETTE,CA
Machine Learning Engineer,Ask Media Group,OAKLAND,CA
Software Development Engineer,Amazon.com,SAN,"Francisco,"
Machine Learning Engineer,Castle Global,SAN,"Francisco,"
Machine Learning Engineer,Planet,SAN,"Francisco,"
Senior Scientist,Lonza Biologics,HAYWARD,CA
Research Analyst,JLL,MENLO,"Park,"
Data Engineer,Fanatics Inc.,SAN,"Mateo,"
Data Engineer,Abbott Laboratories,ALAMEDA,CA
Machine Learning Engineer,PicnicHealth,SAN,"Francisco,"
Senior Scientist,Lonza,HAYWARD,CA
Senior Data Scientist,Harnham,SAN,"Francisco,"
Data Engineer,Upstart,SAN,"Carlos,"
Bioinformatics Scientist,Intrexon Corporation.,SOUTH,San
Research Analyst,SEIU United Service Workers West,ALAMEDA,CA
Senior Data Engineer,Blue Owl,SAN,"Francisco,"
Data Scientist,Grand Rounds,SAN,"Francisco,"
Data Scientist,Payette Group,SAN,"Francisco,"
Data Scientist,All-In Analytics,SAN,"Francisco,"
Principal Data Scientist,Harnham,SAN,"Francisco,"
Research Scientist,Carbon3D,REDWOOD,"City,"
Senior Data Scientist,"Coherent, Inc.",RICHMOND,CA
Market Research Analyst,Kantar Millward Brown,SAN,"Francisco,"
Research Scientist,Bristol-Myers Squibb,REDWOOD,"City,"
Senior Data Scientist,Qualys,FOSTER,"City,"
Senior Data Scientist,Lattice Engines,SAN,"Mateo,"
Research Analyst,Nielsen,SAN,"Francisco,"
Lead Data Scientist,Jobspring Partners,SAN,"Francisco,"
Sr. Data Scientist,Gilead Sciences,FOSTER,"City,"
Data Engineer,Rand Thompson Consultants LLC,SAN,"Francisco,"
Data Engineer,Energy Solutions,OAKLAND,CA
Senior Data Scientist,FuelX,SAN,"Mateo,"
Machine Learning Engineer,Twitter,SAN,"Francisco,"
Senior Data Scientist,Coherent Germany,RICHMOND,CA
Senior Data Scientist,Walmart eCommerce,SAN,"Bruno,"
